ID,TYPE
1,car
2,car
3,car
4,car
5,emergency
6,emergency
7,emergency
8,car
9,car
10,car
11,car
12,emergency
13,car
14,car
15,car
16,car
17,car
18,car
19,car
20,emergency
21,emergency
22,car
23,car
24,car
25,car
26,emergency
27,car
28,emergency
29,car
30,car
31,car
32,emergency
33,car
34,car
35,emergency
36,car
37,car
38,car
39,car
40,car
41,car
42,car
43,emergency
44,car
45,car
46,car
47,car
48,car
49,emergency
50,car
51,car
52,car
53,car
54,car
55,car
56,car
57,car
58,car
59,car
60,car
61,car
62,car
63,car
64,emergency
65,emergency
66,emergency
67,emergency
68,car
69,emergency
70,car
71,car
72,car
73,car
74,car
75,car
76,car
77,car
78,car
79,car
80,car
81,car
82,emergency
83,car
84,car
85,car
86,car
87,car
88,car
89,car
90,car
91,car
92,car
93,emergency
94,car
95,car
96,car
97,car
98,emergency
99,car
100,car
101,car
102,emergency
103,car
104,car
105,car
106,car
107,car
108,car
109,car
110,car
111,car
112,car
113,car
114,car
115,car
116,car
117,emergency
118,car
119,emergency
120,car
121,car
122,car
123,car
124,emergency
125,car
126,car
127,car
128,car
129,car
130,car
131,car
132,emergency
133,car
134,emergency
135,car
136,car
137,car
138,car
139,emergency
140,car
141,car
142,car
143,car
144,car
145,emergency
146,car
147,car
148,car
149,car
150,car
151,car
152,car
153,car
154,car
155,emergency
156,car
157,emergency
158,car
159,emergency
160,car
161,car
162,car
163,car
164,car
165,car
166,emergency
167,car
168,emergency
169,car
170,car
171,emergency
172,car
173,car
174,car
175,emergency
176,car
177,car
178,car
179,car
180,car
181,car
182,emergency
183,emergency
184,car
185,car
186,car
187,emergency
188,car
189,car
190,emergency
191,car
192,car
193,car
194,car
195,emergency
196,car
197,car
198,emergency
199,car
200,car
